Country/Region,Lat,Long,Confirmed,Deaths,IFR
Holy See,3352.2320000000027,996.2719999999993,130,0,0.0
Honduras,1216.0000000000018,-6899.352,3606,208,5.768164170826401
Hungary,3772.999999999995,1560.2640000000017,11282,538,4.768658039354724
Iceland,5197.047999999996,-1521.6640000000004,26193,76,0.29015385790096593
India,1680.0,6240.0,54444,1549,2.8451252663287048
Indonesia,-63.14399999999991,9113.704,36779,3142,8.542918513282036
Iran,2560.0,4240.0,1114864,70862,6.356111597468391
Iraq,2640.0,3520.0,16394,1123,6.850067097718678
Ireland,4251.392000000005,-615.3679999999994,76286,2063,2.7042969876517318
Israel,2480.0,2800.0,117276,665,0.5670384392373546
Italy,3440.0,960.0,2509070,277976,11.07884594690463
Jamaica,1448.768,-6183.799999999993,941,46,4.888416578108395
Japan,2880.0,11040.0,66014,1654,2.5055291301845064
Jordan,2499.199999999997,2920.8000000000047,5780,72,1.245674740484429
Kazakhstan,3841.5680000000043,5353.896000000001,8009,70,0.8740167311774254
Kenya,-1.8880000000000017,3032.495999999995,1833,54,2.9459901800327333
"Korea, South",2880.0,10240.0,359272,4547,1.26561491015164
Kosovo,3408.2108800000037,1672.2381599999983,2137,33,1.544220870379036
Kuwait,2360.0,3820.0,10602,7,0.0660252782493869
Kyrgyzstan,3296.352000000004,5981.287999999992,2527,24,0.9497427779976256
Laos,1588.5015999999998,8199.639679999982,174,0,0.0
Latvia,4550.368000000009,1968.256000000001,8584,14,0.16309412861137
Lebanon,2708.3759999999997,2868.983999999995,10576,288,2.723146747352496
Liberia,514.2479999999989,-754.3599999999994,210,23,10.952380952380953
Libya,2106.808,1378.2664800000016,209,9,4.30622009569378
Liechtenstein,3771.1999999999975,763.9999999999992,1456,7,0.4807692307692308
Lithuania,4413.552000000007,1910.5040000000006,11722,180,1.5355741341068077
Luxembourg,3985.2240000000074,490.3679999999995,45346,556,1.2261279936488334
MS Zaandam,0.0,0.0,98,20,20.408163265306122
Madagascar,-1501.3520000000012,3749.527999999994,1048,0,0.0
